number of adults,number of children,number of weekend nights,number of week nights,car parking space,lead time,repeated,P-C,P-not-C,average price ,special requests,date of reservation,booking_status--converted,total_nights,total_guests,type of meal_Meal Plan 2,type of meal_Meal Plan 3,type of meal_Not Selected,room type_Room_Type 2,room type_Room_Type 3,room type_Room_Type 4,room type_Room_Type 5,room type_Room_Type 6,room type_Room_Type 7,market segment type_Complementary,market segment type_Corporate,market segment type_Offline,market segment type_Online
1,1,2,5,0,224,0,0,0,88,0,10/2/2015,0,7,2,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,3,0,5,0,0,0,106.68,1,11/6/2018,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,1,1,3,0,1,0,0,0,50,0,2/28/2018,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,2,0,211,0,0,0,100,1,5/20/2017,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,2,0,48,0,0,0,77,0,4/11/2018,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,2,0,289.5,0,0,0,100,1,9/13/2016,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,4,0,34,0,0,0,107.55,1,10/15/2017,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,1,3,0,83,0,0,0,105.61,1,12/26/2018,0,4,3,0,0,0,0,0,1,0,0,0,0,0,0,1
1,1,0,4,0,121,0,0,0,96.9,1,7/6/2018,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,5,0,44,0,0,0,133.44,2.5,10/18/2018,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,0,85.03,0,9/11/2018,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,2,1,0,35,0,0,0,140.4,1,4/30/2018,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,2,1,0,30,0,0,0,88,0,11/26/2018,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,2,0,0,95,0,0,0,90,2,11/20/2018,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,47,0,0,0,94.5,2,10/20/2017,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,256,0,0,0,115,1,6/15/2018,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,0,96,0,10/5/2017,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,3,0,1,0,0,0,96,1,8/10/2017,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,99,0,0,0,65,0,10/30/2017,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,0,0,12,0,0,0,72,0,10/4/2017,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,2,2,0,99,0,0,0,65,0,10/30/2017,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,122,0,0,0,67,0,11/25/2018,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,2,4,0,2,0,0,0,85,0,3/20/2018,0,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0
